id,created_at,market,symbol,exchange_code,side,order_kind,requested_qty,requested_price,strategy_flag,entry_by,exit_by,status,reason,broker_order_no,is_virtual,payload_json
499,2026-07-14T17:24:42.288243+00:00,overseas,TCBK,NASD,BUY,limit,70,58.875,VWAP+VOL,VWAP,,SUBMITTED,[VWAP+VOL] strategy_buy_signal,0000044154,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000044154"", ""ORD_TMD"": ""022442""}}, ""order_division"": ""00"", ""reference_price"": 58.875}"
500,2026-07-14T17:44:28.849870+00:00,overseas,TCBK,NASD,SELL,aggressive_limit,70,58.81,VWAP+VOL,VWAP,trend_filter_lost,SUBMITTED,trend_filter_lost,0000044236,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40590000"", ""msg1"": ""모의투자 매도주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000044236"", ""ORD_TMD"": ""024428""}}, ""sell_result"": {""realized_pnl"": 0.0, ""fully_virtual"": false, ""qty_from_real"": 70, ""qty_from_virtual_buy"": 0, ""qty_pending_real"": 0, ""virtual_buy_avg_price"": 0.0}, ""requested_qty"": 70, ""order_division"": ""00"", ""reference_price"": 58.81}"
501,2026-07-14T17:53:38.515107+00:00,overseas,ANGO,NASD,BUY,limit,290,12.885,VWAP+VOL,VWAP,,SUBMITTED,[VWAP+VOL] strategy_buy_signal,0000044268,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000044268"", ""ORD_TMD"": ""025338""}}, ""order_division"": ""00"", ""reference_price"": 12.885}"
502,2026-07-14T17:56:39.092508+00:00,overseas,TCBK,NASD,SELL,cancel,70,58.81,VWAP+VOL,VWAP,trend_filter_lost,CANCELED,stale_exit_replace,0000044288,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40630000"", ""msg1"": ""모의투자 취소주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000044288"", ""ORD_TMD"": ""025639""}}, ""original_order_no"": ""44236"", ""order_division"": ""00"", ""original_order_price"": 58.81, ""reference_price"": 58.605, ""open_qty"": 70, ""original_order_orgno"": ""00950""}"
503,2026-07-14T17:56:40.462032+00:00,overseas,TCBK,NASD,SELL,aggressive_limit,70,58.605,VWAP+VOL,VWAP,trend_filter_lost,SUBMITTED,trend_filter_lost,0000044289,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40590000"", ""msg1"": ""모의투자 매도주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000044289"", ""ORD_TMD"": ""025640""}}, ""sell_result"": {""realized_pnl"": 0.0, ""fully_virtual"": false, ""qty_from_real"": 70, ""qty_from_virtual_buy"": 0, ""qty_pending_real"": 0, ""virtual_buy_avg_price"": 0.0}, ""requested_qty"": 70, ""order_division"": ""00"", ""reference_price"": 58.605}"
504,2026-07-14T18:20:17.006392+00:00,overseas,ANGO,NASD,SELL,aggressive_limit,290,12.79,VWAP+VOL,VWAP,VWAP,SUBMITTED,momentum_loss_cut,0000044447,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40590000"", ""msg1"": ""모의투자 매도주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000044447"", ""ORD_TMD"": ""032016""}}, ""sell_result"": {""realized_pnl"": 0.0, ""fully_virtual"": false, ""qty_from_real"": 290, ""qty_from_virtual_buy"": 0, ""qty_pending_real"": 0, ""virtual_buy_avg_price"": 0.0}, ""requested_qty"": 290, ""order_division"": ""00"", ""reference_price"": 12.79}"
505,2026-07-14T18:49:43.726785+00:00,overseas,ERIC,NASD,BUY,limit,409,10.115,VWAP+RSI,VWAP,,SUBMITTED,[VWAP+RSI] strategy_buy_signal,0000044617,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000044617"", ""ORD_TMD"": ""034943""}}, ""order_division"": ""00"", ""reference_price"": 10.115}"
506,2026-07-14T18:57:04.715030+00:00,overseas,ERIC,NASD,SELL,aggressive_limit,409,10.1101,VWAP+RSI,VWAP,trend_filter_lost,SUBMITTED,trend_filter_lost,0000044648,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40590000"", ""msg1"": ""모의투자 매도주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000044648"", ""ORD_TMD"": ""035704""}}, ""sell_result"": {""realized_pnl"": 0.0, ""fully_virtual"": false, ""qty_from_real"": 409, ""qty_from_virtual_buy"": 0, ""qty_pending_real"": 0, ""virtual_buy_avg_price"": 0.0}, ""requested_qty"": 409, ""order_division"": ""00"", ""reference_price"": 10.1101}"
507,2026-07-14T19:42:03.268646+00:00,overseas,CLSK,NASD,BUY,limit,308,13.41,VWAP+VOL,VWAP,,SUBMITTED,[VWAP+VOL] strategy_buy_signal,0000045183,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000045183"", ""ORD_TMD"": ""044203""}}, ""order_division"": ""00"", ""reference_price"": 13.41}"
508,2026-07-14T19:52:40.224725+00:00,overseas,GALT,NASD,BUY,limit,711,5.25,VWAP+RSI,VWAP,,SUBMITTED,[VWAP+RSI] strategy_buy_signal,0000045431,0,"{""response"": {""rt_cd"": ""0"", ""msg_cd"": ""40600000"", ""msg1"": ""모의투자 매수주문이 완료 되었습니다."", ""output"": {""KRX_FWDG_ORD_ORGNO"": ""00950"", ""ODNO"": ""0000045431"", ""ORD_TMD"": ""045240""}}, ""order_division"": ""00"", ""reference_price"": 5.25}"
