id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade,vwap,macd_line,macd_signal,macd_golden,breakout_distance_pct,atr,spread_pct,consecutive_losses,hold_cycles
20439,2026-07-06T15:00:08.188470+00:00,overseas,LWAY,NASD,SELL,partial_profit_lock,30.505,0.012815830538862486,942,55.607501546524894,0.02333912288319583,0.019893012370444628,0.0,29.88555555555556,30.169761904761906,27.4848,343,,,d5e88212d785,VOL,VOL,1,,,,,,,,,
20440,2026-07-06T15:00:08.197865+00:00,overseas,ABBV,NYSE,WAIT,signal_unavailable,256.405,-0.01801922561372617,29,,,,,,,0.0,343,,,d5e88212d785,,,1,,,,,,,,,
20441,2026-07-06T15:00:08.206888+00:00,overseas,CVX,NYSE,WAIT,signal_unavailable,168.3,-0.0006531678641409965,19,,,,,,,0.0,343,,,d5e88212d785,,,1,,,,,,,,,
20442,2026-07-06T15:00:08.215496+00:00,overseas,KO,NYSE,WAIT,signal_unavailable,82.86,-0.010213223436660144,87,,,,,,,0.0,343,,,d5e88212d785,,,1,,,,,,,,,
20443,2026-07-06T15:00:08.224244+00:00,overseas,MA,NYSE,WAIT,signal_unavailable,527.64,-0.02009070345319409,7,,,,,,,0.0,343,,,d5e88212d785,,,1,,,,,,,,,
20444,2026-07-06T15:00:08.233409+00:00,overseas,NEE,NYSE,WAIT,signal_unavailable,87.28,-0.005526120891015774,133,,,,,,,0.0,343,,,d5e88212d785,,,1,,,,,,,,,
20445,2026-07-06T15:00:08.242318+00:00,overseas,NKE,NYSE,WAIT,signal_unavailable,42.005,-0.03944660416190246,90,,,,,,,0.0,343,,,d5e88212d785,,,1,,,,,,,,,
20446,2026-07-06T15:00:08.251335+00:00,overseas,PFE,NYSE,WAIT,signal_unavailable,23.651,-0.028786136662286486,421,,,,,,,0.0,343,,,d5e88212d785,,,1,,,,,,,,,
20447,2026-07-06T15:00:08.261803+00:00,overseas,V,NYSE,WAIT,signal_unavailable,353.205,-0.019120219945013724,20,,,,,,,0.0,343,,,d5e88212d785,,,1,,,,,,,,,
20448,2026-07-06T15:00:10.590358+00:00,overseas,LWAY,NASD,SELL_REAL,take_profit,30.505,0.012815830538862486,942,,,,,,,,343,363.6119999999993,490876.199999999,d5e88212d785,VOL,VOL,1,,,,,,,,,
20449,2026-07-06T15:00:39.604734+00:00,overseas,LWAY,NASD,SELL,partial_profit_lock,30.505,0.012815830538862486,942,55.607501546524894,0.02333912288319583,0.019893012370444628,0.0,29.88555555555556,30.169761904761906,27.485,344,,,d5e88212d785,VOL,VOL,1,,,,,,,,,
20450,2026-07-06T15:00:39.613987+00:00,overseas,ABBV,NYSE,WAIT,signal_unavailable,256.39,-0.0180766726666923,29,,,,,,,0.0,344,,,d5e88212d785,,,1,,,,,,,,,
20451,2026-07-06T15:00:39.622587+00:00,overseas,CVX,NYSE,WAIT,signal_unavailable,168.16,-0.0014844724185024642,19,,,,,,,0.0,344,,,d5e88212d785,,,1,,,,,,,,,
20452,2026-07-06T15:00:39.632537+00:00,overseas,KO,NYSE,WAIT,signal_unavailable,82.9,-0.009735411813892345,87,,,,,,,0.0,344,,,d5e88212d785,,,1,,,,,,,,,
20453,2026-07-06T15:00:39.642075+00:00,overseas,MA,NYSE,WAIT,signal_unavailable,528.0,-0.01942212763112438,7,,,,,,,0.0,344,,,d5e88212d785,,,1,,,,,,,,,
20454,2026-07-06T15:00:39.651204+00:00,overseas,NEE,NYSE,WAIT,signal_unavailable,87.3875,-0.00430125904403803,133,,,,,,,0.0,344,,,d5e88212d785,,,1,,,,,,,,,
20455,2026-07-06T15:00:39.660541+00:00,overseas,NKE,NYSE,WAIT,signal_unavailable,42.04,-0.03864623828035669,90,,,,,,,0.0,344,,,d5e88212d785,,,1,,,,,,,,,
20456,2026-07-06T15:00:39.670169+00:00,overseas,PFE,NYSE,WAIT,signal_unavailable,23.635,-0.029443166885676688,421,,,,,,,0.0,344,,,d5e88212d785,,,1,,,,,,,,,
20457,2026-07-06T15:00:39.678578+00:00,overseas,V,NYSE,WAIT,signal_unavailable,353.23,-0.0190507928573411,20,,,,,,,0.0,344,,,d5e88212d785,,,1,,,,,,,,,
20458,2026-07-06T15:01:10.658293+00:00,overseas,LWAY,NASD,HOLD,vr=0.2x mom=+1.76%,30.435,0.010491716192436632,942,55.4744835125706,0.15414676508901431,0.017552657973921717,-0.0022947057859367412,29.877777777777776,30.166428571428572,25.4516,345,,,d5e88212d785,VOL,VOL,1,,,,,,,,,
20459,2026-07-06T15:01:10.669844+00:00,overseas,ABBV,NYSE,WAIT,signal_unavailable,256.39,-0.0180766726666923,29,,,,,,,0.0,345,,,d5e88212d785,,,1,,,,,,,,,
20460,2026-07-06T15:01:10.680363+00:00,overseas,CVX,NYSE,WAIT,signal_unavailable,168.16,-0.0014844724185024642,19,,,,,,,0.0,345,,,d5e88212d785,,,1,,,,,,,,,
20461,2026-07-06T15:01:10.690214+00:00,overseas,KO,NYSE,WAIT,signal_unavailable,82.9,-0.009735411813892345,87,,,,,,,0.0,345,,,d5e88212d785,,,1,,,,,,,,,
20462,2026-07-06T15:01:10.699687+00:00,overseas,MA,NYSE,WAIT,signal_unavailable,528.0,-0.01942212763112438,7,,,,,,,0.0,345,,,d5e88212d785,,,1,,,,,,,,,
