id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade,vwap,macd_line,macd_signal,macd_golden,breakout_distance_pct,atr,spread_pct,consecutive_losses,hold_cycles,entry_price,qty_executed,net_pnl_usd,net_pnl_krw,commission_usd,commission_krw,is_virtual,orderable_qty,stock_name,hold_duration_min,entry_time,exit_cooldown_remaining,cb_active,pool_size
40492,2026-07-09T15:05:05.165225+00:00,overseas,BBIO,NASD,SELL_REAL,trend_filter_lost,89.45,-0.0032759850240684273,352,38.92304994009954,0.004678677351280443,-0.0023963441818992803,0.0,89.78555555555555,90.12,2884.2903,359,-103.48799999999892,-139708.79999999853,80c833411326,VWAP,VWAP,1,90.0860185151458,0.28613265823200607,0.47395863582230413,0,-0.01116515586999769,0.7890625,0.0,2,0,89.765,352,-269.23782,-363471.06,79.36462,107142.24,0,352,BBIO,7.3,2026-07-09T14:57:47.134066+00:00,,1,8
41256,2026-07-09T15:35:38.497698+00:00,overseas,BBIO,NASD,BUY_REAL,[VWAP] strategy_buy_signal,89.315,0.0,354,56.157393692198575,0.0017593579516381823,-0.007350893801859961,-5.609783462353251e-05,89.62486666666666,90.10208571428572,2848.7258,426,0.0,0.0,80c833411326,VWAP,VWAP,1,90.03006113913926,0.20284840092983814,0.43636227081450085,0,-0.017300275482093588,0.6587874999999972,0.0,2,,89.315,354,0.0,0.0,79.043775,0.0,0,0,BBIO,0.0,2026-07-09T15:35:38.497698+00:00,0.0,0,13
41257,2026-07-09T15:35:41.183758+00:00,overseas,PCAP,NASD,BUY_REAL,[VWAP] strategy_buy_signal,10.3,0.0,2763,56.38315756849661,0.0004971661529283086,0.0004856726566295077,0.0,10.297777777777778,10.301904761904762,45.9126,426,0.0,0.0,80c833411326,VWAP,VWAP,1,10.291431293139452,0.0025059464727092973,0.004052624172129985,0,0.0,0.002500000000000391,0.0,2,,10.3,2763,0.0,0.0,71.14725,0.0,0,0,PCAP,0.0,2026-07-09T15:35:41.183758+00:00,0.0,0,13
41439,2026-07-09T15:44:05.676088+00:00,overseas,SMPL,NASD,BUY_REAL,[VWAP] strategy_buy_signal,13.375,0.0,1915,41.64182368308297,0.33395186377776565,0.0022455089820360135,-0.0011189854531890185,13.458333333333334,13.261666666666667,874.692,441,0.0,0.0,80c833411326,VWAP,VWAP,1,13.31703288136432,-0.10921347497268741,-0.17231052076583936,0,-0.020505309410472308,0.11937499999999979,0.0,2,,13.375,1915,0.0,0.0,64.032813,0.0,0,0,SMPL,0.0,2026-07-09T15:44:05.676088+00:00,0.0,0,16
41466,2026-07-09T15:45:22.295821+00:00,overseas,PSKY,NASD,BUY_REAL,[RSI] strategy_buy_signal,9.205,0.0,2505,38.29423369059546,0.21621698994063032,0.004359673024523067,0.0010863661053774891,9.138244444444446,9.087961904761904,-1073.1089,443,0.0,0.0,80c833411326,RSI,RSI,1,9.014162749588161,0.0023325764585262476,-0.02524150954693405,0,-0.000542888165038087,0.04718749999999994,0.0,2,,9.205,2505,0.0,0.0,57.646313,0.0,0,0,PSKY,0.0,2026-07-09T15:45:22.295821+00:00,0.0,0,16
41584,2026-07-09T15:51:12.524070+00:00,overseas,ALNY,NASD,BUY_REAL,[RSI] strategy_buy_signal,339.675,0.0,61,16.92987080329705,0.12107674060911365,0.005855427416478503,-0.0038854384364053604,339.6650111111111,347.86500476190474,1040.8249,452,0.0,0.0,80c833411326,RSI,RSI,1,360.2134561844477,-7.92146223575304,-8.069863103127686,1,-0.008812500911889528,2.8762499999999918,0.0,2,,339.675,61,0.0,0.0,51.800438,0.0,0,0,ALNY,0.0,2026-07-09T15:51:12.524070+00:00,0.0,0,16
41650,2026-07-09T15:54:28.136605+00:00,overseas,BBIO,NASD,SELL_REAL,trend_filter_lost,89.215,-0.0008623392913138711,354,54.522501005665774,0.34345362942817964,-0.005525478595746949,-0.010550866281652629,89.6632,89.92065714285714,2824.8711,457,-27.257999999999356,-36798.29999999913,80c833411326,VWAP,VWAP,1,90.02177651968717,0.15393426760901718,0.3038649979417282,0,-0.011522907318154032,0.6356249999999974,0.0,3,0,89.315,354,-194.049641,-261967.02,79.605866,107467.92,0,354,BBIO,18.83,2026-07-09T15:35:38.508879+00:00,,1,16
41677,2026-07-09T15:55:50.667124+00:00,overseas,SMPL,NASD,SELL_REAL,trend_filter_lost,13.265,-0.006962120077855964,1915,35.89399435689779,0.4340489457962863,-0.004121393780442225,-0.0011273957158963223,13.39611111111111,13.314047619047617,702.8238,459,-178.09499999999994,-240428.2499999999,80c833411326,VWAP,VWAP,1,13.312376517534068,-0.11179574323787733,-0.15014717955065754,0,-0.012653516933382949,0.1100000000000001,0.0,4,0,13.375,1915,-338.712291,-457261.59,64.029478,86439.8,0,1915,SMPL,11.75,2026-07-09T15:44:05.685978+00:00,,1,16
41691,2026-07-09T15:56:27.133977+00:00,overseas,ALNY,NASD,SELL_REAL,trend_filter_lost,337.57,-0.002482196152596057,61,12.644415547010894,0.27927746369817247,-0.005171241984574923,-0.007839207827419451,338.9627888888889,346.7671476190476,910.8455,460,-51.24000000000194,-69174.00000000262,80c833411326,RSI,RSI,1,359.9551588414976,-7.756409148231739,-8.044548381188319,0,-0.010073166082608767,2.863749999999989,0.0,5,0,339.675,61,-232.109053,-313347.22,51.903615,70069.88,0,61,ALNY,5.24,2026-07-09T15:51:12.535322+00:00,,1,16
41692,2026-07-09T15:56:28.485091+00:00,overseas,PSKY,NASD,SELL_REAL,trend_filter_lost,9.185,-0.0018474244729406065,2505,35.80557517929188,0.03727912048132979,0.0,0.0,9.171855555555556,9.113080952380951,-1113.0579,460,-42.584999999998644,-57489.74999999817,80c833411326,RSI,RSI,1,9.017071158738528,0.011609724154624246,-0.0120052213482718,0,-0.00351826792963471,0.04562500000000003,0.0,6,0,9.205,2505,-165.741349,-223750.82,57.995036,78293.3,0,2505,PSKY,11.08,2026-07-09T15:45:23.597362+00:00,,1,16
